iter	Passed	Remaining
808	1793	423
809	1795	421
810	1796	418
811	1797	416
812	1798	413
813	1799	411
814	1800	408
815	1801	406
816	1802	403
817	1803	401
818	1804	398
819	1805	396
820	1807	394
821	1809	391
822	1811	389
823	1812	387
824	1813	384
825	1814	382
826	1815	379
827	1816	377
828	1818	375
829	1819	372
830	1820	370
831	1821	367
832	1823	365
833	1824	363
834	1826	360
835	1827	358
836	1828	356
837	1829	353
838	1830	351
839	1831	348
840	1832	346
841	1833	344
842	1834	341
843	1836	339
844	1837	337
845	1839	334
846	1840	332
847	1841	330
848	1843	327
849	1844	325
850	1845	323
851	1847	320
852	1848	318
853	1849	316
854	1850	313
855	1852	311
856	1854	309
857	1855	307
858	1857	304
859	1858	302
860	1860	300
861	1861	297
862	1862	295
863	1863	293
864	1865	291
865	1867	288
866	1868	286
867	1870	284
868	1871	282
869	1872	279
870	1873	277
871	1874	275
872	1875	272
873	1876	270
874	1878	268
875	1880	266
876	1881	263
877	1883	261
878	1885	259
879	1886	257
880	1887	254
881	1889	252
882	1890	250
883	1893	248
884	1895	246
885	1897	244
886	1899	241
887	1901	239
888	1902	237
889	1904	235
890	1906	233
891	1907	231
892	1910	228
893	1912	226
894	1914	224
895	1916	222
896	1917	220
897	1919	217
898	1920	215
899	1922	213
900	1924	211
901	1926	209
902	1928	207
903	1931	205
904	1933	202
905	1935	200
906	1937	198
907	1939	196
908	1941	194
909	1942	192
910	1943	189
911	1945	187
912	1947	185
913	1948	183
914	1950	181
915	1952	179
916	1953	176
917	1954	174
918	1955	172
919	1957	170
920	1959	168
921	1961	165
922	1963	163
923	1964	161
924	1967	159
925	1969	157
926	1970	155
927	1971	152
928	1973	150
929	1975	148
930	1976	146
931	1978	144
932	1980	142
933	1982	140
934	1983	137
935	1984	135
936	1985	133
937	1987	131
938	1988	129
939	1989	126
940	1992	124
941	1993	122
942	1995	120
943	1996	118
944	1998	116
945	1999	114
946	2001	112
947	2003	109
948	2005	107
949	2007	105
950	2008	103
951	2010	101
952	2012	99
953	2014	97
954	2016	95
955	2018	92
956	2019	90
957	2021	88
958	2023	86
959	2024	84
960	2025	82
961	2026	80
962	2027	77
963	2029	75
964	2031	73
965	2032	71
966	2034	69
967	2036	67
968	2038	65
969	2040	63
970	2041	60
971	2043	58
972	2044	56
973	2045	54
974	2047	52
975	2049	50
976	2050	48
977	2052	46
978	2053	44
979	2054	41
980	2056	39
981	2057	37
982	2059	35
983	2061	33
984	2062	31
985	2065	29
986	2067	27
987	2069	25
988	2070	23
989	2072	20
990	2073	18
991	2075	16
992	2077	14
993	2079	12
994	2081	10
995	2083	8
996	2086	6
997	2088	4
998	2091	2
999	2094	0
